FECHA,CORREO,RAZON_SOCIAL,NUMERO_RUC,NOMBRE_ESTABLECIMIENTO,HC1-Punto,HC1-Zona,HC1-Este,HC1-Norte,HC1-Region,HC1-Referencia
6/10/2025 11:15:54,ramosklembert.07@gmail.com,EMPRESA METAL MECANICA S.A,20100276322,Establecimiento_1_6322,P-001,Zona_Industrial,288223,8655593,Lima,Km_48_Carretera_Central
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_1_3372,P-001,Zona_Industrial,282862,8658835,Lima,Km_50_Carretera_Central
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_2_3372,P-002,Zona_Industrial,284247,8652635,Lima,Km_39_Carretera_Central
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_3_3372,P-003,Zona_Industrial,289168,8656734,Lima,Km_12_Carretera_Central
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_4_3372,P-004,Zona_Industrial,282183,8658995,Lima,Km_11_Carretera_Central
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_5_3372,P-005,Zona_Industrial,284193,8657845,Lima,Km_1_Carretera_Central
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_6_3372,P-006,Zona_Industrial,289334,8652981,Lima,Km_11_Carretera_Central
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_7_3372,P-007,Zona_Industrial,284128,8651745,Lima,Km_19_Carretera_Central
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_1_5667,P-001,Zona_Industrial,287946,8655279,Lima,Km_50_Carretera_Central
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_2_5667,P-002,Zona_Industrial,287289,8654663,Lima,Km_5_Carretera_Central
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_3_5667,P-003,Zona_Industrial,282270,8656659,Lima,Km_30_Carretera_Central
6/23/2025 9:35:52,raysareyesv@gmail.com,Energia Renovable del Sur ,20392847406,Establecimiento_1_7406,P-001,Zona_Industrial,283102,8659876,Lima,Km_15_Carretera_Central
7/1/2025 14:22:18,jgarcia.industrial@gmail.com,INDUSTRIAS GARCIA HERMANOS S.R.L,20456789123,Establecimiento_1_9123,P-001,Zona_Industrial,283093,8658731,Lima,Km_18_Carretera_Central
7/1/2025 14:22:18,jgarcia.industrial@gmail.com,INDUSTRIAS GARCIA HERMANOS S.R.L,20456789123,Establecimiento_2_9123,P-002,Zona_Industrial,285157,8655354,Lima,Km_46_Carretera_Central
7/2/2025 10:15:33,mperez.textil@hotmail.com,TEXTIL PERU NORTE S.A.C,20567891234,Establecimiento_1_1234,P-001,Zona_Industrial,282644,8659375,Lima,Km_12_Carretera_Central
7/2/2025 10:15:33,mperez.textil@hotmail.com,TEXTIL PERU NORTE S.A.C,20567891234,Establecimiento_2_1234,P-002,Zona_Industrial,287443,8652529,Lima,Km_47_Carretera_Central
7/2/2025 10:15:33,mperez.textil@hotmail.com,TEXTIL PERU NORTE S.A.C,20567891234,Establecimiento_3_1234,P-003,Zona_Industrial,285183,8654904,Lima,Km_26_Carretera_Central
7/3/2025 16:45:12,rlopez.quimica@yahoo.com,QUIMICA INDUSTRIAL LIMA S.A,20678912345,Establecimiento_1_2345,P-001,Zona_Industrial,283093,8657382,Lima,Km_6_Carretera_Central
7/4/2025 9:30:25,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,Establecimiento_1_3456,P-001,Zona_Industrial,281335,8658032,Lima,Km_20_Carretera_Central
7/4/2025 9:30:25,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,Establecimiento_2_3456,P-002,Zona_Industrial,284350,8652805,Lima,Km_40_Carretera_Central
7/4/2025 9:30:25,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,Establecimiento_3_3456,P-003,Zona_Industrial,287093,8654145,Lima,Km_11_Carretera_Central
7/4/2025 9:30:25,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,Establecimiento_4_3456,P-004,Zona_Industrial,287257,8650162,Lima,Km_50_Carretera_Central
7/4/2025 9:30:25,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,Establecimiento_5_3456,P-005,Zona_Industrial,289943,8653759,Lima,Km_11_Carretera_Central
7/5/2025 13:20:41,lsanchez.alimentaria@outlook.com,ALIMENTOS DEL PACIFICO S.A,20891234567,Establecimiento_1_4567,P-001,Zona_Industrial,287311,8650307,Lima,Km_15_Carretera_Central
7/5/2025 13:20:41,lsanchez.alimentaria@outlook.com,ALIMENTOS DEL PACIFICO S.A,20891234567,Establecimiento_2_4567,P-002,Zona_Industrial,284234,8654216,Lima,Km_31_Carretera_Central
7/5/2025 13:20:41,lsanchez.alimentaria@outlook.com,ALIMENTOS DEL PACIFICO S.A,20891234567,Establecimiento_3_4567,P-003,Zona_Industrial,283758,8657073,Lima,Km_46_Carretera_Central
7/5/2025 13:20:41,lsanchez.alimentaria@outlook.com,ALIMENTOS DEL PACIFICO S.A,20891234567,Establecimiento_4_4567,P-004,Zona_Industrial,285021,8659001,Lima,Km_42_Carretera_Central
7/6/2025 11:55:17,aprojas.construccion@gmail.com,CONSTRUCTORA ROJAS E HIJOS S.R.L,20912345678,Establecimiento_1_5678,P-001,Zona_Industrial,282640,8658167,Lima,Km_18_Carretera_Central
7/6/2025 11:55:17,aprojas.construccion@gmail.com,CONSTRUCTORA ROJAS E HIJOS S.R.L,20912345678,Establecimiento_2_5678,P-002,Zona_Industrial,289748,8654449,Lima,Km_21_Carretera_Central
7/7/2025 15:10:29,bcastillo.farmaceutica@hotmail.com,FARMACEUTICA CASTILLO S.A.C,20123456789,Establecimiento_1_6789,P-001,Zona_Industrial,289248,8653928,Lima,Km_30_Carretera_Central
