FECHA,CORREO,RAZON_SOCIAL,NUMERO_RUC,NOMBRE_ESTABLECIMIENTO,HC3-Chimenea,HC3-Presion_atm,HC3-Temperatura_C,HC3-Porcentaje,HC3-Flujo_real_m3min,HC3-Flujo_normal_m3min,HC3-Horas_ano
6/10/2025 11:15:54,ramosklembert.07@gmail.com,EMPRESA METAL MECANICA S.A,20100276322,Establecimiento_1_6322,CH-01,1.03,135,8.4,168.1,95.6,6277
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_1_3372,CH-01,1.17,122,8.1,226.7,103.5,7543
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_1_3372,CH-02,1.03,190,8.1,213.7,107.5,8403
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_2_3372,CH-01,1.09,238,7.6,289.8,263.0,7010
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_2_3372,CH-02,1.16,120,8.8,194.6,153.1,7477
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_3_3372,CH-01,1.18,235,8.6,174.8,106.0,6146
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_3_3372,CH-02,1.13,247,7.9,215.7,212.3,8577
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_4_3372,CH-01,1.16,198,7.8,253.7,183.1,6153
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_5_3372,CH-01,1.15,180,8.7,122.8,169.1,7677
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_5_3372,CH-02,1.03,244,7.5,229.8,170.7,8532
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_6_3372,CH-01,1.1,199,8.5,216.7,188.2,6672
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_7_3372,CH-01,1.07,198,8.9,136.1,262.4,8431
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_7_3372,CH-02,1.11,173,7.5,144.6,247.2,6956
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_1_5667,CH-01,1.11,174,8.2,293.4,241.4,7365
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_2_5667,CH-01,1.11,236,8.4,271.7,225.1,7323
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_3_5667,CH-01,1.13,131,7.8,284.0,135.0,8308
6/23/2025 9:35:52,raysareyesv@gmail.com,Energia Renovable del Sur ,20392847406,Establecimiento_1_7406,CH-01,1.12,180,7.5,209.2,239.9,8300
7/1/2025 14:22:18,jgarcia.industrial@gmail.com,INDUSTRIAS GARCIA HERMANOS S.R.L,20456789123,Establecimiento_1_9123,CH-01,1.2,143,8.4,122.2,132.1,7820
7/1/2025 14:22:18,jgarcia.industrial@gmail.com,INDUSTRIAS GARCIA HERMANOS S.R.L,20456789123,Establecimiento_2_9123,CH-01,1.06,230,7.6,224.9,228.8,8097
