FECHA,CORREO,RAZON_SOCIAL,NUMERO_RUC,NOMBRE_ESTABLECIMIENTO,HC5-Sustancia,HC5-Cuerpo_receptor,HC5-Nombre_cuerpo,HC5-Unidad,HC5-Cantidad,HC5-Metodo_calculo
6/10/2025 11:15:54,ramosklembert.07@gmail.com,EMPRESA METAL MECANICA S.A,20100276322,Establecimiento_1_6322,Metales pesados,Agua,Fuente_2,kg/ano,18257.91,Monitoreo
6/10/2025 11:15:54,ramosklembert.07@gmail.com,EMPRESA METAL MECANICA S.A,20100276322,Establecimiento_1_6322,CO,Suelo,Fuente_3,kg/ano,15422.17,Balance masico
6/10/2025 11:15:54,ramosklembert.07@gmail.com,EMPRESA METAL MECANICA S.A,20100276322,Establecimiento_1_6322,PM10,Suelo,Fuente_2,kg/ano,45426.38,Monitoreo
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_1_3372,CO,Suelo,Fuente_4,kg/ano,28501.33,Balance masico
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_1_3372,CO,Atmosfera,Fuente_5,kg/ano,48926.69,Factor de emision
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_1_3372,CO2,Atmosfera,Fuente_4,kg/ano,3211.69,Monitoreo
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_2_3372,CO2,Atmosfera,Fuente_1,kg/ano,27590.14,Balance masico
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_2_3372,CO2,Agua,Fuente_2,ton/ano,38210.75,Factor de emision
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_2_3372,PM2.5,Atmosfera,Fuente_1,kg/ano,31297.35,Balance masico
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_3_3372,CO2,Atmosfera,Fuente_4,kg/ano,5633.58,Monitoreo
