FECHA,CORREO,RAZON_SOCIAL,NUMERO_RUC,NOMBRE_ESTABLECIMIENTO,Residuo,Cantidad_transferida,Unidad_medida,Densidad_KgL,RUC_operador,Tipo_operador,Numero_registro
6/10/2025 11:15:54,ramosklembert.07@gmail.com,EMPRESA METAL MECANICA S.A,20100276322,Establecimiento_1_6322,Virutas metalicas,307.57,toneladas,1.1,2071856673,Gestor autorizado,REG-6322-001
6/10/2025 11:15:54,ramosklembert.07@gmail.com,EMPRESA METAL MECANICA S.A,20100276322,Establecimiento_1_6322,Aceites usados,252.64,m3,2.5,2030812271,Gestor autorizado,REG-6322-002
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_1_3372,Residuos solidos,215.73,m3,0.8,2093653983,Gestor autorizado,REG-3372-001
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_1_3372,Lodos,189.19,kg,1.1,2040745469,Dispositor final,REG-3372-002
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_2_3372,Residuos solidos,248.17,kg,1.1,2030589058,Reciclador,REG-3372-001
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_2_3372,Lodos,358.5,m3,0.8,2060093260,Dispositor final,REG-3372-002
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_3_3372,Residuos solidos,39.7,kg,0.8,2062536473,Gestor autorizado,REG-3372-001
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_3_3372,Lodos,20.67,kg,1.1,2036814174,Gestor autorizado,REG-3372-002
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_4_3372,Residuos solidos,251.37,toneladas,1.0,2054955228,Dispositor final,REG-3372-001
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_4_3372,Lodos,236.97,m3,1.0,2083435622,Gestor autorizado,REG-3372-002
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_4_3372,Materiales varios,489.93,kg,1.1,2058864471,Gestor autorizado,REG-3372-003
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_5_3372,Residuos solidos,120.91,toneladas,1.0,2072758150,Dispositor final,REG-3372-001
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_5_3372,Lodos,355.84,m3,0.8,2041188690,Gestor autorizado,REG-3372-002
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_5_3372,Materiales varios,237.22,m3,1.1,2050465456,Gestor autorizado,REG-3372-003
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_6_3372,Residuos solidos,213.83,m3,1.0,2055838305,Reciclador,REG-3372-001
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_6_3372,Lodos,483.29,m3,0.8,2075271815,Reciclador,REG-3372-002
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_6_3372,Materiales varios,432.51,toneladas,0.8,2063805683,Gestor autorizado,REG-3372-003
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_7_3372,Residuos solidos,64.2,m3,0.8,2060877959,Reciclador,REG-3372-001
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_7_3372,Lodos,487.05,kg,1.1,2098806340,Gestor autorizado,REG-3372-002
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_7_3372,Materiales varios,359.57,m3,1.0,2067491029,Reciclador,REG-3372-003
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_1_5667,Residuos organicos,376.16,litros,0.9,2044139797,Dispositor final,REG-5667-001
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_1_5667,Envases contaminados,150.74,litros,1.2,2099737273,Dispositor final,REG-5667-002
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_1_5667,Subproductos animales,212.5,kg,0.9,2078957111,Dispositor final,REG-5667-003
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_2_5667,Residuos organicos,268.53,litros,1.2,2051549760,Gestor autorizado,REG-5667-001
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_2_5667,Envases contaminados,311.57,litros,0.5,2029580170,Reciclador,REG-5667-002
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_3_5667,Residuos organicos,28.18,litros,0.9,2046557919,Gestor autorizado,REG-5667-001
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_3_5667,Envases contaminados,463.11,toneladas,0.5,2094514956,Reciclador,REG-5667-002
6/23/2025 9:35:52,raysareyesv@gmail.com,Energia Renovable del Sur ,20392847406,Establecimiento_1_7406,Cenizas,35.2,kg,0.9,2055785935,Dispositor final,REG-7406-001
6/23/2025 9:35:52,raysareyesv@gmail.com,Energia Renovable del Sur ,20392847406,Establecimiento_1_7406,Lodos,69.53,toneladas,0.8,2024690286,Dispositor final,REG-7406-002
6/23/2025 9:35:52,raysareyesv@gmail.com,Energia Renovable del Sur ,20392847406,Establecimiento_1_7406,Aceites dieléctricos,63.44,toneladas,1.1,2085321154,Gestor autorizado,REG-7406-003
7/1/2025 14:22:18,jgarcia.industrial@gmail.com,INDUSTRIAS GARCIA HERMANOS S.R.L,20456789123,Establecimiento_1_9123,Residuos solidos,325.88,m3,1.0,2044964500,Gestor autorizado,REG-9123-001
7/1/2025 14:22:18,jgarcia.industrial@gmail.com,INDUSTRIAS GARCIA HERMANOS S.R.L,20456789123,Establecimiento_1_9123,Lodos,439.82,m3,1.0,2056228033,Dispositor final,REG-9123-002
7/1/2025 14:22:18,jgarcia.industrial@gmail.com,INDUSTRIAS GARCIA HERMANOS S.R.L,20456789123,Establecimiento_1_9123,Materiales varios,343.48,kg,1.0,2084246901,Dispositor final,REG-9123-003
7/1/2025 14:22:18,jgarcia.industrial@gmail.com,INDUSTRIAS GARCIA HERMANOS S.R.L,20456789123,Establecimiento_2_9123,Residuos solidos,79.8,kg,0.8,2080117577,Dispositor final,REG-9123-001
7/1/2025 14:22:18,jgarcia.industrial@gmail.com,INDUSTRIAS GARCIA HERMANOS S.R.L,20456789123,Establecimiento_2_9123,Lodos,283.8,toneladas,0.8,2091959369,Reciclador,REG-9123-002
7/1/2025 14:22:18,jgarcia.industrial@gmail.com,INDUSTRIAS GARCIA HERMANOS S.R.L,20456789123,Establecimiento_2_9123,Materiales varios,275.59,m3,1.1,2031211802,Dispositor final,REG-9123-003
7/2/2025 10:15:33,mperez.textil@hotmail.com,TEXTIL PERU NORTE S.A.C,20567891234,Establecimiento_1_1234,Recortes textiles,82.16,kg,1.1,2067888489,Gestor autorizado,REG-1234-001
7/2/2025 10:15:33,mperez.textil@hotmail.com,TEXTIL PERU NORTE S.A.C,20567891234,Establecimiento_1_1234,Colorantes,268.45,m3,0.8,2074238391,Gestor autorizado,REG-1234-002
7/2/2025 10:15:33,mperez.textil@hotmail.com,TEXTIL PERU NORTE S.A.C,20567891234,Establecimiento_2_1234,Recortes textiles,354.95,kg,0.8,2099411815,Gestor autorizado,REG-1234-001
7/2/2025 10:15:33,mperez.textil@hotmail.com,TEXTIL PERU NORTE S.A.C,20567891234,Establecimiento_2_1234,Colorantes,94.9,m3,0.3,2054273170,Reciclador,REG-1234-002
7/2/2025 10:15:33,mperez.textil@hotmail.com,TEXTIL PERU NORTE S.A.C,20567891234,Establecimiento_2_1234,Lodos quimicos,255.66,m3,0.3,2038887496,Dispositor final,REG-1234-003
7/2/2025 10:15:33,mperez.textil@hotmail.com,TEXTIL PERU NORTE S.A.C,20567891234,Establecimiento_3_1234,Recortes textiles,499.12,m3,0.8,2018331931,Dispositor final,REG-1234-001
7/2/2025 10:15:33,mperez.textil@hotmail.com,TEXTIL PERU NORTE S.A.C,20567891234,Establecimiento_3_1234,Colorantes,64.73,toneladas,0.3,2053512731,Gestor autorizado,REG-1234-002
7/2/2025 10:15:33,mperez.textil@hotmail.com,TEXTIL PERU NORTE S.A.C,20567891234,Establecimiento_3_1234,Lodos quimicos,20.9,m3,0.3,2064258339,Gestor autorizado,REG-1234-003
7/3/2025 16:45:12,rlopez.quimica@yahoo.com,QUIMICA INDUSTRIAL LIMA S.A,20678912345,Establecimiento_1_2345,Lodos quimicos,333.86,kg,1.5,2036991769,Reciclador,REG-2345-001
7/3/2025 16:45:12,rlopez.quimica@yahoo.com,QUIMICA INDUSTRIAL LIMA S.A,20678912345,Establecimiento_1_2345,Envases peligrosos,393.68,kg,1.5,2091731067,Gestor autorizado,REG-2345-002
7/4/2025 9:30:25,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,Establecimiento_1_3456,Relaves mineros,322.03,toneladas,1.2,2063500103,Gestor autorizado,REG-3456-001
7/4/2025 9:30:25,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,Establecimiento_1_3456,Escombreras,220.3,kg,0.7,2011923305,Gestor autorizado,REG-3456-002
7/4/2025 9:30:25,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,Establecimiento_1_3456,Lodos,334.18,m3,1.2,2095784653,Dispositor final,REG-3456-003
7/4/2025 9:30:25,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,Establecimiento_2_3456,Relaves mineros,217.51,kg,1.8,2059006460,Gestor autorizado,REG-3456-001
7/4/2025 9:30:25,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,Establecimiento_2_3456,Escombreras,87.14,kg,1.2,2053392501,Dispositor final,REG-3456-002
7/4/2025 9:30:25,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,Establecimiento_2_3456,Lodos,263.21,m3,0.7,2067741644,Gestor autorizado,REG-3456-003
7/4/2025 9:30:25,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,Establecimiento_3_3456,Relaves mineros,157.86,toneladas,1.8,2093767203,Dispositor final,REG-3456-001
7/4/2025 9:30:25,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,Establecimiento_3_3456,Escombreras,178.73,kg,1.2,2025933101,Reciclador,REG-3456-002
7/4/2025 9:30:25,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,Establecimiento_4_3456,Relaves mineros,180.75,kg,1.8,2057852405,Dispositor final,REG-3456-001
7/4/2025 9:30:25,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,Establecimiento_4_3456,Escombreras,23.81,m3,0.7,2099347001,Reciclador,REG-3456-002
7/4/2025 9:30:25,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,Establecimiento_5_3456,Relaves mineros,224.08,toneladas,1.8,2082416837,Gestor autorizado,REG-3456-001
